feature,importance
repeat_purchase_30d,0.4568475453798416
delivery_delay_days,0.3426801364610843
complaints_count,0.1619450572870896
csat_internal_score,0.13615948101073588
customer_service_contacts,0.03483802675068746
customer_age,0.008167234445102967
order_value,0.007693368421897384
resolution_time_days,0.0055148255990876026
freight_value,0.0033957519627930478
delivery_time_days,0.0027977531338513996
customer_region,0.0017206048198612934
customer_tenure_months,0.0006959286432508093
payment_installments,0.0005082490541809204
discount_value,-0.0009474300745596853
delivery_attempts,-0.003602655280132527
items_quantity,-0.004336205683634997
